Em0tion,Word,Num
good,重要,1
happy,起来,1
good,独特,1
good,入味,1
good,干净,1
good,好吃,1
disgust,偷懒,1
disgust,随便,1
good,丁香,1
good,入味,3
good,根本,1
good,一定,1
good,均匀,1
good,干净,3
good,好吃,1
disgust,不够,1
happy,起来,1
disgust,多余,1
disgust,异味,1
good,均匀,1
disgust,大错特错,1
good,好吃,2
good,喜欢,2
good,必须,1
good,入味,1
good,均匀,1
happy,舒服,1
good,干净,1
happy,起来,1
happy,过瘾,1
good,师傅,1
good,一定,1
good,无比,1
happy,起来,1
good,清爽,1
good,清爽,1,happy,清爽,1
good,真正,1
good,一定,1
good,均匀,5
good,干净,1
good,好吃,3
good,完美,1
good,入味,1
good,均匀,3
good,均匀,2
good,好吃,1
good,肯定,1
happy,凉快,1
good,干净,1
happy,享受,1
good,拿手,1
good,满意,1
good,详细,1
good,喜欢,2
good,师傅,1
good,均匀,2
happy,开胃,2
good,好吃,2
disgust,不够,1
happy,起来,1
disgust,下水,1
good,干净,2
surprise,奇怪,1
good,不错,1
happy,起来,1
good,博大精深,1
good,一定,1
good,干净,1
good,其实,1
good,好吃,2
happy,恢复,1
disgust,偷懒,1
fear,厉害,1
happy,起来,3
disgust,多余,1
good,师傅,1
good,一定,1
good,均匀,3
sad,念念不忘,1
good,好吃,2
good,肯定,1
disgust,失败,1
good,师傅,1
good,一定,1
sad,念念不忘,1
happy,开胃,1
fear,重点,1
happy,起来,1
good,喜欢,1
happy,过瘾,1
good,入味,1
good,均匀,1
good,回味,1
good,干净,3
good,好吃,1
good,鲜嫩,1
good,鲜美,1
happy,起来,2
good,入味,3
good,一定,2
good,确实,1
good,必要,1
good,干净,1
good,好吃,3
good,完美,1
sad,怀念,1
good,确实,1
good,均匀,2
disgust,强行,1
good,干净,1
good,健康,1
good,最好,1
good,其实,1
good,好吃,1
good,鲜美,1
happy,起来,2
disgust,等不及,1
good,入味,1
good,一定,1
good,确实,2
good,好吃,2
good,鲜嫩,1
disgust,复杂,1
good,重要,2
good,鲜美,1
happy,起来,2
good,入味,2
good,均匀,1
good,干净,3
good,最好,1
sad,不行,1
good,师父,1
good,师傅,2
good,一定,2
disgust,青皮,1
happy,恭喜,1
good,干净,2
good,其实,1
good,重要,2
happy,起来,2
good,详细,1
good,负责,2
good,丁香,1
good,丰富,1
good,一定,2
sad,回忆,1
good,葱白,1
happy,起来,2
good,认真,1
good,一定,2
good,干净,2
good,好吃,3
anger,揉搓,3
happy,起来,3
good,理解,1
good,喜欢,1
good,一定,1
good,均匀,1
good,干净,1
happy,开胃,1
good,其实,1
good,好吃,1
good,完美,1
happy,起来,3
good,认真,1
good,喜欢,2
good,师傅,1
good,一定,3
sad,焦黄,1
disgust,捣乱,1
good,均匀,2
happy,开胃,6
sad,切切,2
good,好吃,1
disgust,不够,1
good,拿手,1
good,完美,1
good,重要,1
good,胭脂,1
disgust,自卖自夸,1
good,喜欢,2
good,入味,1
good,爽口,2
good,根本,1
disgust,杂质,1
good,一定,5
good,共识,1
good,均匀,7
good,欢迎,1
good,干净,1
good,健康,1
good,清澈,1
good,喜好,1
good,鲜美,1
disgust,油腻,1
good,师傅,1
disgust,麻烦,1
good,一定,1
good,新鲜,1
good,健康,1
good,好吃,3
happy,起来,3
good,细腻,2
good,清香,1
good,一定,3
fear,不好意思,1
sad,回忆,1
good,均匀,1
good,下饭,1
good,好吃,1
good,鲜嫩,1
good,完美,1
good,重要,1
good,水汪汪,1
happy,起来,2
good,一定,1
disgust,不好,1
good,均匀,1
good,干干净净,1
good,干净,2
fear,重点,1
good,最好,1
good,好吃,2
good,实在,1
good,耐性,1
happy,起来,1
disgust,失败,1
good,一定,3
good,干净,1
good,好吃,2
happy,起来,1
good,先生,1
good,入味,1
good,爽口,1
disgust,生气,1
good,均匀,2
good,干净,4
happy,狂欢,1
happy,起来,2
good,干净,2
good,好吃,1
disgust,不够,1
happy,起来,1
good,喜欢,1
disgust,等不及,1
good,快速,1
good,好吃,3
good,重要,1
good,独特,1
good,一定,2
good,均匀,1
good,干净,1
happy,精神,2
good,雅趣,1
good,一定,3
happy,满足,1
good,干净,3
good,好吃,3
happy,起来,1
disgust,失败,1
good,实际,1
good,师傅,1
good,一定,2
disgust,麻烦,1
good,确实,1
good,迅速,1
good,均匀,1
good,好吃,1
good,重要,1
happy,起来,1
good,醇厚,1
good,师傅,2
good,一定,1
good,孝顺,1
good,均匀,3
disgust,小气,1
good,适宜,1
good,干净,1
good,好吃,1
happy,适中,1
good,下界,1
happy,起来,2
disgust,失败,1
good,一定,1
disgust,不好,1
good,均匀,2
good,最好,1
good,实在,1
good,鲜美,2
happy,起来,1
good,确实,1
good,新鲜,1
good,均匀,1
good,鲜美,3
disgust,油腻,1
disgust,过分,1
good,一定,1
good,美味,1
good,人才,1
good,下酒,1
good,好吃,1
good,肯定,1
good,实在,1
good,浓郁,1
disgust,拍马屁,1
happy,起来,1
disgust,谎话,1
good,经用,1
good,肯定,1
good,浓郁,1
happy,起来,1
good,均匀,2
good,回味,1
good,好吃,4
good,实在,1
happy,起来,2
sad,不行,1
good,入味,1
good,丰富,1
good,确实,1
good,回味无穷,1
good,均匀,5
good,一定,1
happy,出头,1
anger,变色,1
good,均匀,1
good,好吃,1
good,入味,1
good,实在,2
good,干净,1
fear,重点,1
good,其实,1
good,好吃,1
good,无比,1
happy,起来,1
good,入味,1
good,均匀,2
good,干净,1
disgust,损失,1
good,好吃,1
good,鲜嫩,1
good,实在,1
good,完美,1
